arch,model_id,method,task,sample_size,seed,accuracy,majority_baseline,collapsed,exploded,max_grad_norm_observed,trainable_params,total_params,trainable_ratio
decoder-only,Qwen/Qwen3-0.6B,lora,rte,96,29,0.5884476534296029,0.5270758122743683,False,False,50.84115219116211,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,192,7,0.631768953068592,0.5270758122743683,False,False,92.08279418945312,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,192,13,0.628158844765343,0.5270758122743683,False,False,101.05072021484375,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,192,29,0.6028880866425993,0.5270758122743683,False,False,51.17685317993164,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,384,7,0.7184115523465704,0.5270758122743683,False,False,107.17028045654297,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,384,13,0.6750902527075813,0.5270758122743683,False,False,98.00775909423828,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,rte,384,29,0.7003610108303249,0.5270758122743683,False,False,61.615928649902344,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,48,7,0.5493119266055045,0.5091743119266054,False,False,87.78275299072266,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,48,13,0.643348623853211,0.5091743119266054,False,False,30.521284103393555,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,48,29,0.6077981651376146,0.5091743119266054,False,False,57.79111862182617,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,96,7,0.6444954128440367,0.5091743119266054,False,False,72.25228118896484,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,96,13,0.7557339449541285,0.5091743119266054,False,False,51.71272277832031,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,96,29,0.7935779816513762,0.5091743119266054,False,False,62.81901168823242,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,192,7,0.8061926605504587,0.5091743119266054,False,False,96.38859558105469,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,192,13,0.8245412844036697,0.5091743119266054,False,False,47.455997467041016,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,192,29,0.8899082568807339,0.5091743119266054,False,False,52.467041015625,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,384,7,0.8738532110091743,0.5091743119266054,False,False,83.34828186035156,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,384,13,0.8509174311926605,0.5091743119266054,False,False,74.2598648071289,1148928,597200896,0.001923855117591786
decoder-only,Qwen/Qwen3-0.6B,lora,sst2,384,29,0.8922018348623854,0.5091743119266054,False,False,45.46208953857422,1148928,597200896,0.001923855117591786
encoder-decoder,google-t5/t5-base,bitfit,mrpc,48,7,0.6813725490196079,0.6838235294117647,True,False,0.96484375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,48,13,0.6838235294117647,0.6838235294117647,False,False,1.3828125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,48,29,0.6838235294117647,0.6838235294117647,False,False,1.1953125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,96,7,0.6838235294117647,0.6838235294117647,False,False,1.03125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,96,13,0.6838235294117647,0.6838235294117647,False,False,1.3515625,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,96,29,0.6838235294117647,0.6838235294117647,False,False,1.3515625,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,192,7,0.6838235294117647,0.6838235294117647,False,False,1.0234375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,192,13,0.6838235294117647,0.6838235294117647,False,False,1.3671875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,192,29,0.6838235294117647,0.6838235294117647,False,False,1.109375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,384,7,0.6838235294117647,0.6838235294117647,False,False,1.1328125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,384,13,0.6838235294117647,0.6838235294117647,False,False,1.34375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,mrpc,384,29,0.6838235294117647,0.6838235294117647,False,False,1.21875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,48,7,0.5059491122094087,0.5053999633900788,False,False,0.89453125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,48,13,0.509244005125389,0.5053999633900788,False,False,0.98828125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,48,29,0.5161998901702362,0.5053999633900788,False,False,0.7421875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,96,7,0.5064982610287387,0.5053999633900788,False,False,0.94140625,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,96,13,0.5204100311184331,0.5053999633900788,False,False,1.0234375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,96,29,0.5064982610287387,0.5053999633900788,False,False,0.91796875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,192,7,0.5167490389895661,0.5053999633900788,False,False,0.94921875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,192,13,0.5259015193117335,0.5053999633900788,False,False,0.96875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,192,29,0.5518945634266886,0.5053999633900788,False,False,1.1328125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,384,7,0.5886875343218012,0.5053999633900788,False,False,1.125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,384,13,0.5118066996155958,0.5053999633900788,False,False,1.3046875,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,qnli,384,29,0.5892366831411312,0.5053999633900788,False,False,1.0234375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,rte,48,7,0.48375451263537905,0.5270758122743683,True,False,0.953125,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,rte,48,13,0.5451263537906137,0.5270758122743683,False,False,0.87109375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,rte,48,29,0.4693140794223827,0.5270758122743683,True,False,0.9375,1922,109630082,1.753168441486708e-05
encoder-decoder,google-t5/t5-base,bitfit,rte,96,7,0.5018050541516246,0.5270758122743683,True,False,0.8203125,1922,109630082,1.753168441486708e-05
